,syll,next_syll,size,emp_tp,tp,next_vec,rec,mse,eucl,familiar,pair,n_data,n_model
46,pa,bi,,0.0,0.0,[0 0 0 0 0 1 0 0 0 0 0 0],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.12519984399048936,1.225723512006632,0,pa_bi,0,0
47,pa,ti,,0.0,0.0,[0 0 0 0 0 0 1 0 0 0 0 0],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.12520350470908934,1.2257414313423007,0,pa_ti,0,0
48,pa,pu,,0.0,0.0,[0 0 0 0 0 0 0 0 1 0 0 0],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.1251898772867367,1.2256747233425516,0,pa_pu,0,0
49,pa,bu,,0.0,0.0,[0 0 0 0 0 0 0 0 0 1 0 0],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.12517086247373077,1.2255816372991108,0,pa_bu,0,0
50,pa,du,,0.0,0.0,[0 0 0 0 0 0 0 0 0 0 0 1],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.12519345263410064,1.2256922254828932,0,pa_du,0,0
51,ba,ta,,0.0,0.0,[0 0 1 0 0 0 0 0 0 0 0 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.1199507635954023,1.199753792719501,0,ba_ta,0,0
52,ba,da,,0.0,0.0,[0 0 0 1 0 0 0 0 0 0 0 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.11995197835048045,1.1997598677259402,0,ba_da,0,0
53,ba,bi,,0.0,0.0,[0 0 0 0 0 1 0 0 0 0 0 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.11977995717257267,1.1988992810369319,0,ba_bi,0,0
54,ba,ti,,0.0,0.0,[0 0 0 0 0 0 1 0 0 0 0 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.12006806553632027,1.2003402794357287,0,ba_ti,0,0
55,ba,pu,,0.0,0.0,[0 0 0 0 0 0 0 0 1 0 0 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.11999291587601112,1.1999645788572817,0,ba_pu,0,0
