,tp,condition,model_num,ae_mse,word,epochs,exp,model_type,optim,lr
3,0.752808988764045,part-word,0,0.07246806,pi-go-la,4,1,onehot,adam,0.001
0,1.0,word,0,0.08162512,pa-bi-ku,4,1,onehot,adam,0.0001
1,1.0,word,0,0.080912046,ti-bu-do,4,1,onehot,adam,0.0001
2,0.75,part-word,0,0.07816306,tu-da-ro,4,1,onehot,adam,0.0001
3,0.752808988764045,part-word,0,0.07939562,pi-go-la,4,1,onehot,adam,0.0001
0,1.0,word,0,0.083023384,pa-bi-ku,4,1,onehot,adam,1e-05
1,1.0,word,0,0.081864774,ti-bu-do,4,1,onehot,adam,1e-05
2,0.75,part-word,0,0.08002357,tu-da-ro,4,1,onehot,adam,1e-05
3,0.752808988764045,part-word,0,0.08180523,pi-go-la,4,1,onehot,adam,1e-05
0,1.0,word,0,0.21575102,pa-bi-ku,4,1,onehot,adagrad,0.1
1,1.0,word,0,0.23452535,ti-bu-do,4,1,onehot,adagrad,0.1
2,0.75,part-word,0,0.22023809,tu-da-ro,4,1,onehot,adagrad,0.1
3,0.752808988764045,part-word,0,0.21867426,pi-go-la,4,1,onehot,adagrad,0.1
0,1.0,word,0,0.0824472,pa-bi-ku,4,1,onehot,adagrad,0.01
1,1.0,word,0,0.083053544,ti-bu-do,4,1,onehot,adagrad,0.01
2,0.75,part-word,0,0.07333437,tu-da-ro,4,1,onehot,adagrad,0.01
3,0.752808988764045,part-word,0,0.07280491,pi-go-la,4,1,onehot,adagrad,0.01
0,1.0,word,0,0.08056431,pa-bi-ku,4,1,onehot,adagrad,0.001
1,1.0,word,0,0.0806452,ti-bu-do,4,1,onehot,adagrad,0.001
2,0.75,part-word,0,0.072964035,tu-da-ro,4,1,onehot,adagrad,0.001
3,0.752808988764045,part-word,0,0.072457656,pi-go-la,4,1,onehot,adagrad,0.001
0,1.0,word,0,0.082157925,pa-bi-ku,4,1,onehot,adagrad,0.0001
1,1.0,word,0,0.08125748,ti-bu-do,4,1,onehot,adagrad,0.0001
2,0.75,part-word,0,0.07886053,tu-da-ro,4,1,onehot,adagrad,0.0001
3,0.752808988764045,part-word,0,0.080316395,pi-go-la,4,1,onehot,adagrad,0.0001
0,1.0,word,0,0.083085984,pa-bi-ku,4,1,onehot,adagrad,1e-05
1,1.0,word,0,0.0819108,ti-bu-do,4,1,onehot,adagrad,1e-05
2,0.75,part-word,0,0.0801066,tu-da-ro,4,1,onehot,adagrad,1e-05
3,0.752808988764045,part-word,0,0.08191061,pi-go-la,4,1,onehot,adagrad,1e-05
0,1.0,word,0,11236028000000.0,pa-bi-ku,4,1,onehot,RMSprop,0.1
1,1.0,word,0,11236028000000.0,ti-bu-do,4,1,onehot,RMSprop,0.1
2,0.75,part-word,0,11236028000000.0,tu-da-ro,4,1,onehot,RMSprop,0.1
3,0.752808988764045,part-word,0,11236028000000.0,pi-go-la,4,1,onehot,RMSprop,0.1
0,1.0,word,0,23.768059,pa-bi-ku,4,1,onehot,RMSprop,0.01
1,1.0,word,0,23.928299,ti-bu-do,4,1,onehot,RMSprop,0.01
2,0.75,part-word,0,23.826351,tu-da-ro,4,1,onehot,RMSprop,0.01
3,0.752808988764045,part-word,0,23.633856,pi-go-la,4,1,onehot,RMSprop,0.01
0,1.0,word,0,0.082359456,pa-bi-ku,4,1,onehot,RMSprop,0.001
1,1.0,word,0,0.082658246,ti-bu-do,4,1,onehot,RMSprop,0.001
2,0.75,part-word,0,0.07340261,tu-da-ro,4,1,onehot,RMSprop,0.001
3,0.752808988764045,part-word,0,0.07292271,pi-go-la,4,1,onehot,RMSprop,0.001
0,1.0,word,0,0.08057494,pa-bi-ku,4,1,onehot,RMSprop,0.0001
1,1.0,word,0,0.08065437,ti-bu-do,4,1,onehot,RMSprop,0.0001
2,0.75,part-word,0,0.072955236,tu-da-ro,4,1,onehot,RMSprop,0.0001
3,0.752808988764045,part-word,0,0.07245531,pi-go-la,4,1,onehot,RMSprop,0.0001
0,1.0,word,0,0.08215416,pa-bi-ku,4,1,onehot,RMSprop,1e-05
1,1.0,word,0,0.08125474,ti-bu-do,4,1,onehot,RMSprop,1e-05
