,tp,condition,model_num,ae_mse,word,epochs,exp,model_type
3,0.752808988764045,part-word,28,67.3798,pi-go-la,2,1,acoustic
0,1.0,word,29,13.954961,pa-bi-ku,2,1,acoustic
1,1.0,word,29,20.82376,ti-bu-do,2,1,acoustic
2,0.75,part-word,29,16.013098,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,29,67.365585,pi-go-la,2,1,acoustic
0,1.0,word,30,13.963936,pa-bi-ku,2,1,acoustic
1,1.0,word,30,20.827984,ti-bu-do,2,1,acoustic
2,0.75,part-word,30,16.016706,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,30,67.37384,pi-go-la,2,1,acoustic
0,1.0,word,31,13.936525,pa-bi-ku,2,1,acoustic
1,1.0,word,31,20.80561,ti-bu-do,2,1,acoustic
2,0.75,part-word,31,16.00329,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,31,67.32084,pi-go-la,2,1,acoustic
0,1.0,word,32,13.979398,pa-bi-ku,2,1,acoustic
1,1.0,word,32,20.858644,ti-bu-do,2,1,acoustic
2,0.75,part-word,32,16.036772,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,32,67.43081,pi-go-la,2,1,acoustic
0,1.0,word,33,13.959171,pa-bi-ku,2,1,acoustic
1,1.0,word,33,20.842327,ti-bu-do,2,1,acoustic
2,0.75,part-word,33,16.029577,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,33,67.38524,pi-go-la,2,1,acoustic
0,1.0,word,34,13.983492,pa-bi-ku,2,1,acoustic
1,1.0,word,34,20.872768,ti-bu-do,2,1,acoustic
2,0.75,part-word,34,16.058846,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,34,67.45694,pi-go-la,2,1,acoustic
0,1.0,word,35,13.952087,pa-bi-ku,2,1,acoustic
1,1.0,word,35,20.809368,ti-bu-do,2,1,acoustic
2,0.75,part-word,35,16.003077,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,35,67.34133,pi-go-la,2,1,acoustic
0,1.0,word,36,13.965039,pa-bi-ku,2,1,acoustic
1,1.0,word,36,20.828842,ti-bu-do,2,1,acoustic
2,0.75,part-word,36,16.014336,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,36,67.375824,pi-go-la,2,1,acoustic
0,1.0,word,37,13.962146,pa-bi-ku,2,1,acoustic
1,1.0,word,37,20.85885,ti-bu-do,2,1,acoustic
2,0.75,part-word,37,16.039095,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,37,67.40033,pi-go-la,2,1,acoustic
0,1.0,word,38,13.952601,pa-bi-ku,2,1,acoustic
1,1.0,word,38,20.814968,ti-bu-do,2,1,acoustic
2,0.75,part-word,38,16.001675,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,38,67.34262,pi-go-la,2,1,acoustic
0,1.0,word,39,13.942332,pa-bi-ku,2,1,acoustic
1,1.0,word,39,20.820126,ti-bu-do,2,1,acoustic
2,0.75,part-word,39,16.008585,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,39,67.34302,pi-go-la,2,1,acoustic
0,1.0,word,40,13.942451,pa-bi-ku,2,1,acoustic
1,1.0,word,40,20.812817,ti-bu-do,2,1,acoustic
2,0.75,part-word,40,16.001793,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,40,67.32679,pi-go-la,2,1,acoustic
0,1.0,word,41,13.963158,pa-bi-ku,2,1,acoustic
1,1.0,word,41,20.829403,ti-bu-do,2,1,acoustic
2,0.75,part-word,41,16.018894,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,41,67.36688,pi-go-la,2,1,acoustic
0,1.0,word,42,13.954485,pa-bi-ku,2,1,acoustic
1,1.0,word,42,20.823105,ti-bu-do,2,1,acoustic
2,0.75,part-word,42,16.014618,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,42,67.35877,pi-go-la,2,1,acoustic
0,1.0,word,43,13.959955,pa-bi-ku,2,1,acoustic
1,1.0,word,43,20.821415,ti-bu-do,2,1,acoustic
2,0.75,part-word,43,16.014801,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,43,67.37067,pi-go-la,2,1,acoustic
0,1.0,word,44,13.933561,pa-bi-ku,2,1,acoustic
1,1.0,word,44,20.820284,ti-bu-do,2,1,acoustic
2,0.75,part-word,44,16.006987,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,44,67.34632,pi-go-la,2,1,acoustic
0,1.0,word,45,13.933273,pa-bi-ku,2,1,acoustic
1,1.0,word,45,20.799644,ti-bu-do,2,1,acoustic
2,0.75,part-word,45,15.994301,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,45,67.31134,pi-go-la,2,1,acoustic
0,1.0,word,46,13.964204,pa-bi-ku,2,1,acoustic
1,1.0,word,46,20.844316,ti-bu-do,2,1,acoustic
2,0.75,part-word,46,16.032288,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,46,67.39642,pi-go-la,2,1,acoustic
0,1.0,word,47,13.953673,pa-bi-ku,2,1,acoustic
