,tp,condition,model_num,ae_mse,word,epochs,exp,model_type
0,1.0,word,42,0.1303716,pa-bi-ku,2,1,phon
1,1.0,word,42,0.14846249,ti-bu-do,2,1,phon
2,0.75,part-word,42,0.14004615,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,42,0.13088459,pi-go-la,2,1,phon
0,1.0,word,43,0.12683733,pa-bi-ku,2,1,phon
1,1.0,word,43,0.14565006,ti-bu-do,2,1,phon
2,0.75,part-word,43,0.13626933,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,43,0.12521097,pi-go-la,2,1,phon
0,1.0,word,44,0.1285936,pa-bi-ku,2,1,phon
1,1.0,word,44,0.1463025,ti-bu-do,2,1,phon
2,0.75,part-word,44,0.14060774,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,44,0.13028882,pi-go-la,2,1,phon
0,1.0,word,45,0.123260915,pa-bi-ku,2,1,phon
1,1.0,word,45,0.13697314,ti-bu-do,2,1,phon
2,0.75,part-word,45,0.12982315,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,45,0.12210719,pi-go-la,2,1,phon
0,1.0,word,46,0.12921566,pa-bi-ku,2,1,phon
1,1.0,word,46,0.1498097,ti-bu-do,2,1,phon
2,0.75,part-word,46,0.13968638,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,46,0.1301168,pi-go-la,2,1,phon
0,1.0,word,47,0.12729046,pa-bi-ku,2,1,phon
1,1.0,word,47,0.14225632,ti-bu-do,2,1,phon
2,0.75,part-word,47,0.13432658,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,47,0.12592718,pi-go-la,2,1,phon
0,1.0,word,48,0.12245483,pa-bi-ku,2,1,phon
1,1.0,word,48,0.13866429,ti-bu-do,2,1,phon
2,0.75,part-word,48,0.13235494,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,48,0.123507574,pi-go-la,2,1,phon
0,1.0,word,49,0.12188417,pa-bi-ku,2,1,phon
1,1.0,word,49,0.14020815,ti-bu-do,2,1,phon
2,0.75,part-word,49,0.13447168,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,49,0.123625405,pi-go-la,2,1,phon
0,1.0,word,0,0.1169851,pa-bi-ku,4,1,phon
1,1.0,word,0,0.13301358,ti-bu-do,4,1,phon
2,0.75,part-word,0,0.12889777,tu-da-ro,4,1,phon
3,0.752808988764045,part-word,0,0.11914806,pi-go-la,4,1,phon
0,1.0,word,1,0.11663358,pa-bi-ku,4,1,phon
1,1.0,word,1,0.13106728,ti-bu-do,4,1,phon
2,0.75,part-word,1,0.12375896,tu-da-ro,4,1,phon
3,0.752808988764045,part-word,1,0.11558595,pi-go-la,4,1,phon
0,1.0,word,2,0.11331788,pa-bi-ku,4,1,phon
1,1.0,word,2,0.13051227,ti-bu-do,4,1,phon
2,0.75,part-word,2,0.12867819,tu-da-ro,4,1,phon
3,0.752808988764045,part-word,2,0.11730156,pi-go-la,4,1,phon
0,1.0,word,3,0.10760923,pa-bi-ku,4,1,phon
1,1.0,word,3,0.12426916,ti-bu-do,4,1,phon
2,0.75,part-word,3,0.120196715,tu-da-ro,4,1,phon
3,0.752808988764045,part-word,3,0.10909099,pi-go-la,4,1,phon
0,1.0,word,4,0.1084168,pa-bi-ku,4,1,phon
1,1.0,word,4,0.12315939,ti-bu-do,4,1,phon
2,0.75,part-word,4,0.11720103,tu-da-ro,4,1,phon
